file_name,language_code,language_name,script_code,script_name
yuz-x-bible.txt,yuz,Yuracare,Latn,Latin
yva-x-bible.txt,yva,Yawa,Latn,Latin
zaa-x-bible.txt,zaa,Sierra de Juárez Zapotec,Latn,Latin
zab-x-bible.txt,zab,San Juan Guelavía Zapotec,Latn,Latin
zac-x-bible.txt,zac,Ocotlán Zapotec,Latn,Latin
zad-x-bible.txt,zad,Cajonos Zapotec,Latn,Latin
zae-x-bible.txt,zae,Yareni Zapotec,Latn,Latin
zai-x-bible.txt,zai,Isthmus Zapotec,Latn,Latin
zam-x-bible.txt,zam,Miahuatlán Zapotec,Latn,Latin
zao-x-bible.txt,zao,Ozolotepec Zapotec,Latn,Latin
zar-x-bible.txt,zar,Rincón Zapotec,Latn,Latin
zas-x-bible.txt,zas,Santo Domingo Albarradas Zapotec,Latn,Latin
zat-x-bible.txt,zat,Tabaa Zapotec,Latn,Latin
zav-x-bible.txt,zav,Yatzachi Zapotec,Latn,Latin
zaw-x-bible.txt,zaw,Mitla Zapotec,Latn,Latin
zca-x-bible.txt,zca,Coatecas Altas Zapotec,Latn,Latin
zho-x-bible-contemp.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-cuv-simplified3.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-new.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-newworld.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-orthodox.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-revised.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-shangti.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-shen.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zho-x-bible-standard.txt,zho,Chinese,Hani,"Han (Hanzi, Kanji, Hanja)"
zia-x-bible.txt,zia,Zia,Latn,Latin
ziw-x-bible.txt,ziw,Zigula,Latn,Latin
zom-x-bible.txt,zom,Zou,Latn,Latin
zos-x-bible.txt,zos,Francisco León Zoque,Latn,Latin
zpc-x-bible.txt,zpc,Choapan Zapotec,Latn,Latin
zpi-x-bible.txt,zpi,Santa María Quiegolani Zapotec,Latn,Latin
zpl-x-bible.txt,zpl,Lachixío Zapotec,Latn,Latin
zpm-x-bible.txt,zpm,Mixtepec Zapotec,Latn,Latin
zpo-x-bible.txt,zpo,Amatlán Zapotec,Latn,Latin
zpq-x-bible.txt,zpq,Zoogocho Zapotec,Latn,Latin
zpt-x-bible.txt,zpt,San Vicente Coatlán Zapotec,Latn,Latin
zpu-x-bible.txt,zpu,Yalálag Zapotec,Latn,Latin
zpv-x-bible.txt,zpv,Chichicapan Zapotec,Latn,Latin
zpz-x-bible.txt,zpz,Texmelucan Zapotec,Latn,Latin
zsm-x-bible-goodnews.txt,zsm,Standard Malay,Latn,Latin
zsm-x-bible-todaysmalay.txt,zsm,Standard Malay,Latn,Latin
zsr-x-bible.txt,zsr,Southern Rincon Zapotec,Latn,Latin
ztq-x-bible.txt,ztq,Quioquitani-Quierí Zapotec,Latn,Latin
zty-x-bible.txt,zty,Yatee Zapotec,Latn,Latin
zul-x-bible-newworld.txt,zul,Zulu,Latn,Latin
zul-x-bible.txt,zul,Zulu,Latn,Latin
zyp-x-bible.txt,zyp,Zyphe Chin,Latn,Latin
